video_id,segment_count
6DmwFanCzfs,122
6E0BRR2OcKg,154
6EW1Aplps4k,317
6Fm-M358FOk,156
6FuRx9ecUFc,88
6G5pmDRnDts,156
6G9RhpwIhlQ,104
6Gmwlhl9Rfk,54
6HLv9WD_mEs,224
6HM06awuoIw,103
6HdZoLRQI9w,94
6HsgLF0fjVg,161
6IA7he6N32A,92
6IHtJwyKJsQ,103
6IMxvOVDwQs,153
6IcrlaX5gm4,69
6JFD7ARV-5w,153
6KBuyFy0Hc8,180
6KdHMqUVCc8,255
6Lbu0i4wEEQ,220
6Lw-5Ib8PGE,133
6Nkno7Sjotk,170
6ONzWQ_Moxw,316
6OZtMU4WKGQ,155
6Q04E899deA,124
6Q73BHG1Y6w,59
6QnPfSNUgcs,167
6RKKlufl9q8,343
6RW8YC-aYK4,290
6TuqXejIrvk,134
6U0gz6SWRhg,57
6VMj_Wps7gk,65
6WeOW1f87eQ,280
6Wv_yyukoNM,297
6XH32XZzOxE,111
6Y7ReyD7IZo,106
6YLoDt-qOCg,212
6Z5UdXupfOA,326
6ZkuOWvx9Pw,261
6_5uHcixjcE,94
6_TIxy0R_EY,277
6atz12Q-jFw,142
6b2dlB8YhHU,46
6bCmcBrJy9k,82
6c0iQ2RwkN4,147
6c2j_PTUWlA,142
6cBNXGryZww,116
6d3naKx343Y,193
6e4pSe1TkKY,70
6ePFgVS7dCk,125
6eZw3GzmPGc,117
6ead5yUTURM,121
6efm2jvTsYk,64
6f_paxgBnoA,142
6g81HbeN448,300
6gi6PgAJFr8,198
6grdSLpG2Wg,21
6h4oG8jonxI,114
6hV0MH_Fx7s,119
6iHE9sXDakc,231
6j3PQYFkWOU,238
6j58lfnr23E,107
6kNwp4lSU1Y,95
6kp5S33jXUk,360
6ld6FKhX89c,151
6lnWx8_0NJ4,84
6lxg5gf-aHc,105
6mJ8Lotr0wM,276
6md4Z1_s5Ik,194
6oy5XaKKqAI,125
6pkXL24zvkg,390
6pxdHAeuvh8,62
6qWCiCSVbLY,139
6sIanzx6ba8,78
6sYtRbq9-YQ,162
6u-t8kzbZv8,119
6wXWN0ZA_gk,107
6wib7tKCuYc,1
6x7kwl63TZM,518
6y5oyAytLso,79
6y9W2-pkpRo,206
6yI5zl5UEHk,85
6yS6dQpZMFI,185
6z5x7SR---Q,136
7-PFy3HjAIY,140
70QKUmTaYn8,161
70Tt7NLt8oo,69
70kKrY8rFwU,188
71MMLKiR6L4,102
75pvZP4yFiA,170
77GVaVXp5M4,213
78Lzx5-OCFs,215
78TA8vpObew,90
78XdCT5-EQA,189
78h-hurbxzY,152
7977j4dfBxk,488
79H8ILsKYnE,292
7AWr60yRlzI,87
7AY90uw6k0E,47
7AnTrACdD3Q,171
7BG3VS6INjQ,181
7CEbwcBuDIw,34
7CI_SN2QARQ,124
7CmecnQqhEY,174
7EdjsuPHVkI,218
7FXOZCpi0F0,187
7G01_tT6FOM,235
7GROfQe1G98,51
7I0-jqt1zhs,17
7J73arwqcJ0,32
7Jo-4ayqKVU,273
7JyQCn4_oLE,93
7KQZ_aW22lA,346
7LItgdRN8UM,140
7Lcb8grMGok,53
7NKzwWLda9M,189
7O-4nKOBhw4,120
7O9CfsyXRIY,26
7PkPMtiaRw4,176
7QTwlqbkbos,182
7QkazKvKa2k,24
7QmGGrIt46k,95
7QoCslYlfgs,98
7SQIIUSywcg,53
7SVhnwqjEIs,38
7T__wv8O-0o,188
7Tv9jRLfoaA,217
7TxXC6scMc4,156
7VoYTJ0yN5Y,222
7W7x5WvvScM,275
7X3xBp9Mu44,208
7XPro7as96Q,123
7YTlPehW06k,94
7ZFh7qI1xyg,130
7ZZq08cW8Y8,15
7ZfXJeITqSM,93
7_0p-4Rm1Gk,12
7aJ8ZWu1L1s,153
7amIe_N1HbY,520
7bEFg9oZKeY,58
7bFpZ45z1dY,252
7bIraottirg,634
7bU6eiexM7I,58
7c4Mufpj7a4,347
7dhNJ0MK0BY,69
7dmo1w56vbY,93
7e2JffRi01M,348
7e73NBfieNM,205
7eeFG3UnwSA,178
7fBbzfFx5cs,91
7figmE4ygVU,247
7gl6VajSokQ,376
7h_BciqDM10,292
7ivqMyVm4oE,114
7ixQZo0OAko,41
7jAgkiseH_E,69
7jty5PGLsqI,386
7kPKXct2G2o,173
7kWvW98PRxU,386
7knzyKXD_hY,180
7l_4dUjU0K0,250
7mAEaiKj71o,228
7mG5MfN6aPo,39
7mX1ep0Iy_s,237
7mjCuJcl4Eg,152
7nw1BncMIng,92
7pb5SA0A3pA,244
7qs82ZK2JEQ,276
7qu3c1SUHPg,47
7qzMfUWNyzo,161
7rMOVLWY5PU,121
7ras1-O0UPY,86
7rdplVvDSnQ,182
7sfRPosZ8CU,316
7snnwiTQIR4,796
7ssuWfdDTdA,72
7tSQNejnX1M,317
7uAYZZdqcjk,89
7ug32g6_pOw,264
7vAdeB63eKU,266
7vGIKWQpWbY,218
7x-njSn3B9k,147
7y4kMmxXSgU,95
7yDh8jV4yPE,185
7yddyv5sHwo,49
7zKOLBt9TB0,104
7zTWNYpTZjk,29
7zo1JnSjk-0,61
8-JB5wCgKRo,122
8-TyBcid6v8,84
8-c3E1dvjDM,77
80DaR2CVNNk,520
80h_-UpWw4g,112
80o6jbB_jnM,80
811tSFEWfRk,100
81gnQ4Xo9Wc,276
81si6eY9utE,95
829XQ7U3wW8,68
82WYq8LuiBw,145
83FN1RK_AoU,193
83f47jIS_D8,213
83tHOS7cvIY,156
83xrsCCGRk4,163
84AyGPzYw_0,117
84eepK4nWmI,401
874yCdAyZx4,151
87ToxmZoyoI,63
87kXwSDShnU,94
88RCwqyEB4Q,109
88Wf6rtD6_4,154
88vOTNctE14,110
89Uw-f6mgQ0,125
89aB6SX2y40,203
89ayZn4a3QI,125
89iNouu6Adg,184
8AprLs7bmKg,147
8B6_xdArL2U,116
8CIcnMbzBls,15
8CgFIaMBXTQ,107
8DJePkMyJUc,474
8DU6jp9dLLM,178
8DboQNXZKn0,134
8DlU58Yi3Ww,123
8E8YE8a6Ntk,242
8Ea99qxpGwM,590
8EbQ1cc1wq8,14
8FwwtgpSq1M,226
8G1jTMK5a1E,228
8GDkOf1XwBs,199
8HS1XttsRNc,165
8I07QKLsJq0,11
8ICScf-jzaY,467
8IsuRY6leu4,86
8JDoXSTDFmw,35
8KSKqvRXUOo,175
8KwbJVkBc5c,181
8LFdUMdCWp8,75
8LQBcgjJOKc,30
8LZaOY2lrl4,47
8MZccR1he4s,222
8MvF-XI9dpM,47
8NEbzwdEjWg,130
8NLAJlKR4VI,177
8NPfKdHE30o,233
8NnrCP2kFEA,92
8PA08j_wDBM,60
8Pjpv8XcyTw,34
8QzG0cepFh8,376
8RK8M5c-FFU,125
8SpcLT8-Eds,263
8SuZTLWNlpc,66
8T9xavd7Y0Y,438
8THbhrrRoTk,134
8V0weGrpLYc,75
8VZBnslI-wM,254
8Vs0aC8wa9A,42
