video_id,segment_total,vid_done,vid_pct,aud_done,aud_pct,both_done,both_pct
23x2fQY0WJU,309,0,0.0,0,0.0,0,0.0
23x6BBqyhvc,184,0,0.0,0,0.0,0,0.0
241jzVFbWKc,10,10,100.0,0,0.0,0,0.0
24bIPq5lk9o,57,0,0.0,0,0.0,0,0.0
24nXaVxNYI4,87,87,100.0,0,0.0,0,0.0
25I7mppc1Io,172,0,0.0,0,0.0,0,0.0
25ag8eBfn1U,159,159,100.0,0,0.0,0,0.0
25cE4GtUfFY,180,180,100.0,0,0.0,0,0.0
29ZK5SLWCHw,55,0,0.0,0,0.0,0,0.0
2A1KjGTT7R8,157,0,0.0,0,0.0,0,0.0
2AWBfCB82Ms,336,336,100.0,0,0.0,0,0.0
2AZBjlsdR1o,305,0,0.0,0,0.0,0,0.0
2Asc79ONX2A,213,0,0.0,0,0.0,0,0.0
2Au_-eooZB4,22,0,0.0,0,0.0,0,0.0
2B-HwWqRj0w,79,79,100.0,0,0.0,0,0.0
2BLfYEB9U1M,104,104,100.0,0,0.0,0,0.0
2CH8CMEPwQs,116,0,0.0,0,0.0,0,0.0
2CbfhMh9tnM,221,221,100.0,0,0.0,0,0.0
2D7zzW7K4aI,69,0,0.0,0,0.0,0,0.0
2D8QKeYo0do,212,212,100.0,0,0.0,0,0.0
2DYNCQ9GLm4,564,0,0.0,0,0.0,0,0.0
2DnnPl820Ik,60,0,0.0,0,0.0,0,0.0
2Dth-LCJkt8,83,0,0.0,0,0.0,0,0.0
2Eo2Ra9EHKg,84,84,100.0,0,0.0,0,0.0
2EuPTn2Ngf8,177,0,0.0,0,0.0,0,0.0
2EwqzHsSEZY,132,0,0.0,0,0.0,0,0.0
2Fxb0DuBAlE,93,93,100.0,0,0.0,0,0.0
2GJ0rufbnBg,347,0,0.0,0,0.0,0,0.0
2I99A4Hnb8I,152,152,100.0,0,0.0,0,0.0
2ICfL-Vq9bE,189,189,100.0,0,0.0,0,0.0
2Ic5jlY-ZE4,174,0,0.0,0,0.0,0,0.0
2Iw5cUPtSdA,108,108,100.0,0,0.0,0,0.0
2JmGQI8Yq8g,105,105,100.0,0,0.0,0,0.0
2JmhAHx084o,157,157,100.0,0,0.0,0,0.0
2KFh547iVNs,215,215,100.0,0,0.0,0,0.0
2KGeOuD8TfQ,142,0,0.0,0,0.0,0,0.0
2KTdFycGxCE,142,142,100.0,0,0.0,0,0.0
2KgVDFObHaE,139,0,0.0,0,0.0,0,0.0
2LGQQLR7AG0,234,234,100.0,0,0.0,0,0.0
2LT44VLgKpo,326,0,0.0,0,0.0,0,0.0
2MFW5ePWfl8,89,89,100.0,0,0.0,0,0.0
2MfOIM9M_jc,285,285,100.0,0,0.0,0,0.0
2Mk8kOTyO4k,242,242,100.0,0,0.0,0,0.0
2Mpd4A3BxPo,326,0,0.0,0,0.0,0,0.0
2N3e6RrG0Gc,162,162,100.0,0,0.0,0,0.0
2O-bbsB8tvU,95,0,0.0,0,0.0,0,0.0
2O2wgY5gLjY,190,190,100.0,0,0.0,0,0.0
2OXBP-I0nyY,170,0,0.0,0,0.0,0,0.0
2OrfQGJqvks,66,0,0.0,0,0.0,0,0.0
2PVHg1BcKj4,325,325,100.0,0,0.0,0,0.0
2PY_QFGXnuA,161,161,100.0,0,0.0,0,0.0
2Q1wiQw9bL8,221,221,100.0,0,0.0,0,0.0
2RmH0ppkuzA,24,24,100.0,0,0.0,0,0.0
2S8GeNmbRsk,390,390,100.0,0,0.0,0,0.0
2SbtaqwQMgg,36,18,50.0,0,0.0,0,0.0
2SdEWClh4lc,101,0,0.0,0,0.0,0,0.0
2SmvuAcg0H8,60,0,0.0,0,0.0,0,0.0
