video_id,pt_count
JbzbegHem_4,194
PJZMNSrok98,194
PgKlry7kmEM,194
YsfIg2SgN5Q,194
ZuVB1Q3-4W8,194
kIf1KZyis6g,194
mhgnPCKiJJ8,194
o0dvg6ngWr4,194
qBRPDMdt4Wo,194
uJrPi8QwhSI,194
vSjDUEwQaNM,194
6d3naKx343Y,193
83FN1RK_AoU,193
ARnA_rTtyx8,193
AtaRXPgdmZk,193
EwgvmUAKJ2Q,193
VMMMu0waUUY,193
gcF5lmzkjg8,193
gnmmkBAN9lc,193
gzUWx8Yi6aI,193
jpadyNkONBM,193
xdOwtKdkmcY,193
-hI1dSpHs8Q,192
38aNZmjU2Zo,192
46RxeXuZAjo,192
DXCfSp22K-U,192
KoCbZcjxBOM,192
ctQv9G3DJEg,192
lTI9FDSLv8s,192
oLB_4yQBnqg,192
2rKg-bJOaO8,191
OQ0nVxD2Nck,191
VS2pcj18I7w,191
W295sdkklic,191
YGs1pE2qxWg,191
ZZ9LyrupNIg,191
eEpam9zYnHM,191
fkU-CnAGEMk,191
gMTm_IQMGUs,191
gus4wF7bBuI,191
m4QL9jcXFvs,191
ue1nC0nsCX0,191
wz_42pckM7w,191
2O2wgY5gLjY,190
32gcY7TgKPU,190
5HHIKExIjaw,190
A-vvpi5PpuU,190
Cd2apubddfM,190
CkGWycJXVWs,190
HmlpamGJ56w,190
Q61fLCh_LZA,190
iyBOUSNfNSo,190
m77mgu7cSmQ,190
qM39cSrDxnY,190
vleEAnsOIvs,190
wuNWdW0UXWI,190
2ICfL-Vq9bE,189
7NKzwWLda9M,189
JJvDczTyN_k,189
N3QQZqQbFCw,189
N9bxVV1b4zc,189
QtDhnQl14u0,189
RFoaYqECWEk,189
US86V2lHRAo,189
rkYVV1rLK0k,189
sjoBheBiZ5U,189
vlkq1TC5KkE,189
w5cYQyMr-R8,189
70kKrY8rFwU,188
LqQoZcPONBo,188
P9LOaHWsnRg,188
PwVC__qMjAs,188
QeuU9P3f9lY,188
ebqvkX8F2z8,188
fqzaKtlSgl0,188
pTxqJ30IfGc,188
5qvKCtsN1i8,187
AXBz6Jf_PwM,187
F5TNg-mSIn4,187
GHY_0gxLDDk,187
M7SHGhFT37o,187
RoUAp9HCUv0,187
dBNifSDo3qI,187
dskmRlKdJlo,187
hOlegvZeF5A,187
hZhNVMOsKRw,187
th8QQ_NJpss,187
toE95uFGY64,187
ybl8IvhGAJ4,187
zwBGAmyJ6yg,187
CDphmhaToV4,186
HhztrZdd0dE,186
